species,fxn,source,family,formula,min_depth,max_depth,min_latitude,max_latitude,min_year,max_year,anisotropy,knots,spatiotemporal1,spatiotemporal2,share_range,used
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared,-55,-500,31.9,46.25,2003,2050,FALSE,300,iid,off,TRUE,TRUE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Slope,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear,-183,-520,34.5,49,1999,2050,FALSE,100,off,off,TRUE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Slope,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-183,-520,34.5,49,1999,2050,FALSE,100,off,off,TRUE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",Triennial,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear,-55,-1280,31.9,49,1980,2050,FALSE,250,off,off,FALSE,FALSE
chilipepper,"nwfscSurvey::pull_catch(common_name = species,survey=source)",Triennial,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-55,-1280,31.9,49,1980,2050,FALSE,250,off,off,FALSE,FALSE
curlfin sole,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::tweedie(),catch_weight ~ 0 + fyear + pass_scaled,-55,-450,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
darkblotched rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-675,33.5,49,2003,2050,TRUE,250,off,iid,FALSE,FALSE
Dover sole,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-1280,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
English sole,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-475,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
flathead sole,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-450,41,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
greenspotted rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear,-55,-350,31.9,49,2003,2050,TRUE,200,iid,iid,FALSE,FALSE
greenstriped rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-55,-675,31.9,49,2003,2050,TRUE,300,iid,iid,FALSE,FALSE
lingcod,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-450,40.1667,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
longnose skate,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-1280,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
longspine thornyhead,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled + depth_scaled + depth_scaled_squared,-300,-1280,31.9,49,2003,2050,TRUE,500,off,off,FALSE,FALSE
Pacific cod,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-300,39,49,2003,2050,TRUE,200,iid,iid,FALSE,FALSE
Pacific ocean perch,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,35,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
Pacific sanddab,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,31.9,49,2003,2050,TRUE,500,iid,iid,TRUE,FALSE
Pacific spiny dogfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-700,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
petrale sole,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-675,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
